longitude,latitude,population
-81.453,27.477,62814
-111.8728,40.4137,62712
-93.3094,45.1755,62656
-117.9513,33.9278,62466
-71.2423,42.3889,62442
-121.7191,37.9355,62433
-93.6031,41.728,62416
-120.6689,35.2671,62398
-122.9811,44.0538,62353
-95.8517,41.2369,62316
-104.8534,39.3761,62276
-80.1681,25.9006,62225
-84.5653,39.3938,62092
-93.9773,44.1712,61912
-86.006,40.0353,61882
-86.0156,34.009,61656
-97.4758,35.3294,61523
-93.2795,44.7648,61439
-117.0983,32.6654,61363
-83.2688,42.226,61276
-71.0576,42.4305,61246
-80.3565,25.8149,61130
-84.5421,33.9532,61048
-118.1325,34.0497,61044
-80.1842,26.2803,61010
-85.1862,34.2662,60966
-121.8964,37.7161,60939
-123.0966,44.6274,60795
-122.0465,37.3168,60777
-83.3001,36.2043,60316
-122.5299,47.1628,60296
-118.3073,33.8944,60224
-72.9407,41.6812,60223
-111.8291,40.6892,60192
-121.75,38.6712,60062
-117.0204,32.7703,60021
-111.9493,40.6569,59992
-86.4488,42.1159,59939
-88.0296,43.0068,59934
-72.7943,41.5367,59927
-79.039,35.9269,59862
-83.2878,42.6493,59792
-83.4893,42.4786,59715
-82.8957,42.4921,59635
-81.1841,37.7878,59629
-81.2757,28.7891,59317
-84.2315,43.6239,59138
-83.1539,42.5084,59112
-68.7906,44.8322,59107
-89.8195,35.2337,59102
-122.5222,37.9905,59070
-73.7548,41.022,59047
-77.972,35.3777,58972
-76.7421,38.9575,58859
-118.2167,33.98,58822
-118.0373,34.1342,58799
-70.1681,44.0915,58796
-85.918,39.2091,58771
-87.8619,41.6075,58765
-111.7624,32.907,58632
-79.0611,38.1593,58470
-80.2119,26.2465,58430
-92.1757,38.5677,58279
-87.9008,42.0344,58193
-116.9856,32.8555,58113
-74.4228,41.4458,57973
-93.0498,34.4902,57819
-71.1087,42.4234,57797
-118.3365,46.067,57779
-119.7474,39.1512,57525
-86.5997,36.3063,57517
-80.8193,28.5727,57497
-86.1073,39.6019,57375
-97.371,35.463,57308
-96.6053,39.1882,57284
-90.6061,38.7825,57178
-71.0943,41.9036,57139
-74.445,40.487,57073
-75.1779,41.0023,56771
-84.5168,33.8633,56685
-87.8051,41.567,56668
-117.8161,33.9992,56665
-82.5743,27.49,56508
-117.9514,33.7105,56313
-73.2605,42.4517,56291
-119.2938,46.2826,56243
-80.873,35.4057,56212
-122.3426,47.7564,56189
-87.7528,41.7139,56087
-122.5576,38.092,55980
-104.8434,39.8642,55923
-73.6193,40.7043,55806
-84.8007,34.1632,55794
-83.2769,42.3164,55758
-73.9968,41.9295,55695
-87.7909,41.8433,55550
-72.5719,42.1764,55515
-75.9724,40.9504,55444
-76.5032,42.4442,55439
-117.1653,34.1113,55342
-114.3115,34.5006,55341
-84.1496,39.6957,55175
-97.0798,32.8508,55174
-74.0279,40.7453,55131
-80.1656,26.8488,55036
-75.9094,43.9734,54980
-123.3317,42.4333,54973
-94.2722,39.0124,54945
-118.1651,33.8976,54909
-72.9671,41.2739,54843
-117.3254,34.0538,54828
-116.6591,43.6458,54660
-88.4396,43.772,54629
-120.5845,35.1241,54620
-116.4642,33.8363,54596
-89.5596,37.3108,54588
-118.0823,34.0688,54554
-119.2637,35.767,54471
-84.1373,33.6843,54471
-114.4611,42.5645,54455
-77.0371,41.2398,54389
-100.4832,28.7118,54299
-88.9877,40.522,54284
-74.0093,40.7856,54227
-77.5544,39.1058,54215
-80.7103,32.4487,54207
-104.7755,39.5083,54202
-89.9787,34.9514,54031
-81.474,31.145,54017
-71.0035,42.4191,53993
-97.0744,32.9343,53982
-111.0548,45.6828,53949
-87.937,42.0653,53930
-82.1063,41.3761,53883
-117.0426,34.0336,53683
-96.8633,32.5992,53568
-94.8018,38.9609,53553
-84.3314,33.8746,53518
-121.5504,38.5556,53512
-116.9934,46.3935,53436
-98.3584,40.9214,53424
-95.9357,41.1535,53424
-88.1083,41.8561,53373
-122.7844,45.4237,53148
-93.4617,44.9332,53085
-70.9724,42.5335,52987
-73.0624,41.2253,52970
-116.3695,33.7378,52932
-120.4714,34.6618,52856
-82.7076,27.8588,52854
-74.2724,40.5203,52823
-108.1823,36.7555,52555
-117.8468,34.1449,52445
-93.2006,44.7458,52435
-77.6556,39.9315,52418
-87.7899,41.8872,52261
-117.8553,33.8807,52157
